date,différence,nuitées
2018-01-01,-37693.0,60093
2018-01-02,-27062,33031
2018-01-03,-5800,27231
2018-01-04,-1326,25905
2018-01-05,-4142,21763
2018-01-06,-2161,19602
2018-01-07,-4760,14842
2018-01-08,278,15120
2018-01-09,-552,14568
2018-01-10,1022,15590
2018-01-11,-258,15332
2018-01-12,602,15934
2018-01-13,513,16447
2018-01-14,-3791,12656
2018-01-15,3270,15926
2018-01-16,1431,17357
2018-01-17,-913,16444
2018-01-18,-894,15550
2018-01-19,1171,16721
2018-01-20,862,17583
2018-01-21,-3727,13856
2018-01-22,-2832,11024
2018-01-23,84,11108
2018-01-24,4129,15237
2018-01-25,1238,16475
2018-01-26,1332,17807
2018-01-27,1946,19753
2018-01-28,-5831,13922
2018-01-29,1086,15008
2018-01-30,-2509,12499
2018-01-31,2599,15098
2018-02-01,677,15775
2018-02-02,2611,18386
2018-02-03,1894,20280
2018-02-04,-8545,11735
2018-02-05,4255,15990
2018-02-06,-2039,13951
2018-02-07,333,14284
2018-02-08,2403,16687
2018-02-09,3473,20160
2018-02-10,3032,23192
2018-02-11,-4285,18907
2018-02-12,2625,21532
2018-02-13,-142,21390
2018-02-14,-24,21366
2018-02-15,272,21638
2018-02-16,4454,26092
2018-02-17,2384,28476
2018-02-18,-4586,23890
2018-02-19,3603,27493
2018-02-20,-190,27303
2018-02-21,-2680,24623
2018-02-22,1442,26065
2018-02-23,1812,27877
2018-02-24,1709,29586
2018-02-25,-7393,22193
2018-02-26,3493,25686
2018-02-27,-3185,22501
2018-02-28,4934,27435
2018-03-01,12937,40372
2018-03-02,-17151,23221
2018-03-03,2592,25813
2018-03-04,-11358,14455
2018-03-05,12172,26627
2018-03-06,-882,25745
2018-03-07,-788,24957
2018-03-08,-2087,22870
2018-03-09,2551,25421
2018-03-10,-1059,24362
2018-03-11,-4649,19713
2018-03-12,4551,24264
2018-03-13,-438,23826
2018-03-14,-18612,5214
2018-03-15,-394,4820
2018-03-16,19699,24519
2018-03-17,4185,28704
2018-03-18,-7484,21220
2018-03-19,3443,24663
2018-03-20,-1252,23411
2018-03-21,1456,24867
2018-03-22,-733,24134
2018-03-23,4257,28391
2018-03-24,4471,32862
2018-03-25,-5823,27039
2018-03-26,3438,30477
2018-03-27,1764,32241
2018-03-28,2247,34488
2018-03-29,7533,42021
2018-03-30,10784,52805
2018-03-31,6639,59444
2018-04-01,-7526,51918
2018-04-02,-18038,33880
2018-04-03,776,34656
2018-04-04,1122,35778
2018-04-05,-3865,31913
2018-04-06,2944,34857
2018-04-07,2713,37570
2018-04-08,-6935,30635
2018-04-09,-306,30329
2018-04-10,2598,32927
2018-04-11,-3411,29516
2018-04-12,3145,32661
2018-04-13,4519,37180
2018-04-14,3995,41175
2018-04-15,-5218,35957
2018-04-16,2981,38938
2018-04-17,4316,43254
2018-04-18,230,43484
2018-04-19,1258,44742
2018-04-20,1724,46466
2018-04-21,803,47269
2018-04-22,-12336,34933
2018-04-23,3077,38010
2018-04-24,-7891,30119
2018-04-25,387,30506
2018-04-26,1047,31553
2018-04-27,2443,33996
2018-04-28,9763,43759
2018-04-29,-7405,36354
2018-04-30,11521,47875
2018-05-01,-9194,38681
2018-05-02,3877,42558
2018-05-03,2465,45023
2018-05-04,5526,50549
2018-05-05,7654,58203
2018-05-06,-43652,14551
2018-05-07,37384,51935
2018-05-08,627,52562
2018-05-09,4555,57117
2018-05-10,1095,58212
2018-05-11,2589,60801
2018-05-12,-7036,53765
2018-05-13,-16694,37071
2018-05-14,-3233,33838
2018-05-15,1203,35041
2018-05-16,1719,36760
2018-05-17,-180,36580
2018-05-18,11492,48072
