date,différence,nuitées
2018-01-01,-90308.5,94459
2018-01-02,-60816,33643
2018-01-03,-1831,31812
2018-01-04,-2282,29530
2018-01-05,-6063,23467
2018-01-06,-8524,14943
2018-01-07,-6442,8501
2018-01-08,-347,8154
2018-01-09,949,9103
2018-01-10,672,9775
2018-01-11,-442,9333
2018-01-12,4487,13820
2018-01-13,2868,16688
2018-01-14,-7852,8836
2018-01-15,1206,10042
2018-01-16,495,10537
2018-01-17,289,10826
2018-01-18,-463,10363
2018-01-19,8236,18599
2018-01-20,2685,21284
2018-01-21,-9624,11660
2018-01-22,-4732,6928
2018-01-23,914,7842
2018-01-24,4053,11895
2018-01-25,1826,13721
2018-01-26,8834,22555
2018-01-27,4426,26981
2018-01-28,-12117,14864
2018-01-29,-1932,12932
2018-01-30,-2482,10450
2018-01-31,3243,13693
2018-02-01,666,14359
2018-02-02,11241,25600
2018-02-03,2157,27757
2018-02-04,-15588,12169
2018-02-05,5640,17809
2018-02-06,-773,17036
2018-02-07,1352,18388
2018-02-08,-594,17794
2018-02-09,12700,30494
2018-02-10,15808,46302
2018-02-11,-1982,44320
2018-02-12,-11767,32553
2018-02-13,-2627,29926
2018-02-14,2330,32256
2018-02-15,-1069,31187
2018-02-16,2426,33613
2018-02-17,3760,37373
2018-02-18,-3883,33490
2018-02-19,938,34428
2018-02-20,-875,33553
2018-02-21,-3741,29812
2018-02-22,4323,34135
2018-02-23,2036,36171
2018-02-24,6374,42545
2018-02-25,-7503,35042
2018-02-26,-1396,33646
2018-02-27,-4541,29105
2018-02-28,-749,28356
2018-03-01,8491,36847
2018-03-02,-3433,33414
2018-03-03,817,34231
2018-03-04,-16202,18029
2018-03-05,7780,25809
2018-03-06,6172,31981
2018-03-07,561,32542
2018-03-08,-1435,31107
2018-03-09,6452,37559
2018-03-10,-10491,27068
2018-03-11,-8090,18978
2018-03-12,3606,22584
2018-03-13,-772,21812
2018-03-14,-16748,5064
2018-03-15,5683,10747
2018-03-16,20345,31092
2018-03-17,1424,32516
2018-03-18,-15690,16826
2018-03-19,-445,16381
2018-03-20,-1338,15043
2018-03-21,56,15099
2018-03-22,2710,17809
2018-03-23,3953,21762
2018-03-24,4807,26569
2018-03-25,-8280,18289
2018-03-26,-1229,17060
2018-03-27,211,17271
2018-03-28,4437,21708
2018-03-29,10053,31761
2018-03-30,6103,37864
2018-03-31,15590,53454
2018-04-01,-12595,40859
2018-04-02,-18792,22067
2018-04-03,1463,23530
2018-04-04,-227,23303
2018-04-05,-772,22531
2018-04-06,1719,24250
2018-04-07,-3113,21137
2018-04-08,-6593,14544
2018-04-09,-415,14129
2018-04-10,2601,16730
2018-04-11,-791,15939
2018-04-12,523,16462
2018-04-13,5956,22418
2018-04-14,939,23357
2018-04-15,-5114,18243
2018-04-16,2809,21052
2018-04-17,3160,24212
2018-04-18,3845,28057
2018-04-19,2540,30597
2018-04-20,-546,30051
2018-04-21,-4947,25104
2018-04-22,-7203,17901
2018-04-23,443,18344
2018-04-24,-5759,12585
2018-04-25,392,12977
2018-04-26,406,13383
2018-04-27,488,13871
2018-04-28,5550,19421
2018-04-29,-1843,17578
2018-04-30,8409,25987
2018-05-01,1606,27593
2018-05-02,165,27758
2018-05-03,-3671,24087
2018-05-04,8499,32586
2018-05-05,5467,38053
2018-05-06,-26827,11226
2018-05-07,26601,37827
2018-05-08,-4787,33040
2018-05-09,1091,34131
2018-05-10,2104,36235
2018-05-11,3350,39585
2018-05-12,-8218,31367
2018-05-13,-10055,21312
2018-05-14,2672,23984
2018-05-15,-735,23249
2018-05-16,657,23906
2018-05-17,10538,34444
2018-05-18,11105,45549
2018-05-19,-5796,39753
2018-05-20,-33719,6034
2018-05-21,-3842,2192
2018-05-22,22292,24484
2018-05-23,1496,25980
2018-05-24,-6403,19577
2018-05-25,-11124,8453
2018-05-26,955,9408
2018-05-27,-2483,6925
2018-05-28,20298,27223
2018-05-29,-1136,26087
2018-05-30,-820,25267
2018-05-31,-2075,23192
2018-06-01,-831,22361
2018-06-02,4600,26961
2018-06-03,-5463,21498
2018-06-04,3211,24709
2018-06-05,1377,26086
2018-06-06,1382,27468
2018-06-07,798,28266
2018-06-08,4948,33214
2018-06-09,-930,32284
2018-06-10,-7658,24626
2018-06-11,1562,26188
2018-06-12,-564,25624
2018-06-13,-999,24625
2018-06-14,2812,27437
2018-06-15,2098,29535
2018-06-16,4378,33913
2018-06-17,-4471,29442
2018-06-18,6575,36017
2018-06-19,-3748,32269
2018-06-20,-1543,30726
2018-06-21,2519,33245
2018-06-22,2982,36227
2018-06-23,4236,40463
2018-06-24,-5764,34699
2018-06-25,1922,36621
2018-06-26,-3903,32718
2018-06-27,2112,34830
2018-06-28,2487,37317
