date,différence,nuitées
2018-01-01,-26143.5,36720
2018-01-02,-18170,18550
2018-01-03,-2223,16327
2018-01-04,-1254,15073
2018-01-05,-1183,13890
2018-01-06,-1427,12463
2018-01-07,-4248,8215
2018-01-08,103,8318
2018-01-09,340,8658
2018-01-10,-1694,6964
2018-01-11,345,7309
2018-01-12,1294,8603
2018-01-13,2493,11096
2018-01-14,-2634,8462
2018-01-15,1070,9532
2018-01-16,628,10160
2018-01-17,-1895,8265
2018-01-18,258,8523
2018-01-19,108,8631
2018-01-20,1984,10615
2018-01-21,-3021,7594
2018-01-22,-2527,5067
2018-01-23,661,5728
2018-01-24,2277,8005
2018-01-25,-291,7714
2018-01-26,1440,9154
2018-01-27,2471,11625
2018-01-28,-3459,8166
2018-01-29,-426,7740
2018-01-30,-1175,6565
2018-01-31,803,7368
2018-02-01,770,8138
2018-02-02,1636,9774
2018-02-03,981,10755
2018-02-04,-4283,6472
2018-02-05,2218,8690
2018-02-06,374,9064
2018-02-07,-300,8764
2018-02-08,336,9100
2018-02-09,996,10096
2018-02-10,1286,11382
2018-02-11,-1323,10059
2018-02-12,1612,11671
2018-02-13,-668,11003
2018-02-14,652,11655
2018-02-15,-35,11620
2018-02-16,1099,12719
2018-02-17,1657,14376
2018-02-18,-2006,12370
2018-02-19,1287,13657
2018-02-20,-122,13535
2018-02-21,-1400,12135
2018-02-22,1467,13602
2018-02-23,1305,14907
2018-02-24,1974,16881
2018-02-25,-3680,13201
2018-02-26,-248,12953
2018-02-27,-1065,11888
2018-02-28,369,12257
2018-03-01,5717,17974
2018-03-02,-5752,12222
2018-03-03,1834,14056
2018-03-04,-6412,7644
2018-03-05,4004,11648
2018-03-06,1257,12905
2018-03-07,-388,12517
2018-03-08,-1216,11301
2018-03-09,2077,13378
2018-03-10,247,13625
2018-03-11,-4051,9574
2018-03-12,2360,11934
2018-03-13,-845,11089
2018-03-14,-8422,2667
2018-03-15,628,3295
2018-03-16,10124,13419
2018-03-17,2817,16236
2018-03-18,-5575,10661
2018-03-19,1478,12139
2018-03-20,-281,11858
2018-03-21,-373,11485
2018-03-22,171,11656
2018-03-23,884,12540
2018-03-24,2056,14596
2018-03-25,-3128,11468
2018-03-26,-1083,10385
2018-03-27,2618,13003
2018-03-28,-1555,11448
2018-03-29,2922,14370
2018-03-30,5201,19571
2018-03-31,5526,25097
2018-04-01,-3556,21541
2018-04-02,-8461,13080
2018-04-03,-673,12407
2018-04-04,-1271,11136
2018-04-05,-21,11115
2018-04-06,3821,14936
2018-04-07,4442,19378
2018-04-08,-7544,11834
2018-04-09,-1155,10679
2018-04-10,1572,12251
2018-04-11,48,12299
2018-04-12,832,13131
2018-04-13,2289,15420
2018-04-14,3115,18535
2018-04-15,-3366,15169
2018-04-16,744,15913
2018-04-17,1771,17684
2018-04-18,34,17718
2018-04-19,656,18374
2018-04-20,644,19018
2018-04-21,725,19743
2018-04-22,-4313,15430
2018-04-23,311,15741
2018-04-24,-3587,12154
2018-04-25,-500,11654
2018-04-26,1295,12949
2018-04-27,610,13559
2018-04-28,4480,18039
2018-04-29,-3999,14040
2018-04-30,2956,16996
2018-05-01,-613,16383
2018-05-02,-310,16073
2018-05-03,1745,17818
2018-05-04,1433,19251
2018-05-05,6670,25921
2018-05-06,-20467,5454
2018-05-07,14346,19800
2018-05-08,789,20589
2018-05-09,1351,21940
2018-05-10,-506,21434
2018-05-11,1079,22513
2018-05-12,-504,22009
2018-05-13,-7427,14582
2018-05-14,937,15519
2018-05-15,-606,14913
2018-05-16,1877,16790
2018-05-17,437,17227
2018-05-18,6173,23400
2018-05-19,-3713,19687
2018-05-20,-16135,3552
2018-05-21,-2001,1551
2018-05-22,11659,13210
2018-05-23,492,13702
2018-05-24,-2803,10899
2018-05-25,-4607,6292
2018-05-26,2443,8735
2018-05-27,-2783,5952
2018-05-28,12650,18602
2018-05-29,-3411,15191
2018-05-30,172,15363
2018-05-31,-506,14857
2018-06-01,3316,18173
2018-06-02,2689,20862
2018-06-03,-5254,15608
2018-06-04,1498,17106
2018-06-05,-336,16770
2018-06-06,-1875,14895
2018-06-07,102,14997
2018-06-08,1234,16231
2018-06-09,3869,20100
2018-06-10,-4515,15585
2018-06-11,236,15821
2018-06-12,507,16328
2018-06-13,-117,16211
2018-06-14,236,16447
2018-06-15,1984,18431
2018-06-16,2729,21160
2018-06-17,-5630,15530
2018-06-18,536,16066
2018-06-19,-799,15267
2018-06-20,1163,16430
2018-06-21,1050,17480
2018-06-22,2335,19815
2018-06-23,5780,25595
2018-06-24,-8654,16941
2018-06-25,-10,16931
2018-06-26,2836,19767
2018-06-27,-1617,18150
2018-06-28,2938,21088
2018-06-29,4305,25393
2018-06-30,9618,35011
2018-07-01,-13052,21959
2018-07-02,-1315,20644
2018-07-03,-451,20193
2018-07-04,1405,21598
2018-07-05,2215,23813
2018-07-06,5338,29151
2018-07-07,5649,34800
2018-07-08,-10211,24589
2018-07-09,-153,24436
2018-07-10,-551,23885
2018-07-11,2137,26022
2018-07-12,-96,25926
2018-07-13,8336,34262
2018-07-14,6721,40983
2018-07-15,-9549,31434
2018-07-16,-3246,28188
2018-07-17,797,28985
2018-07-18,97,29082
2018-07-19,2268,31350
2018-07-20,3611,34961
2018-07-21,4755,39716
2018-07-22,-7626,32090
2018-07-23,1259,33349
2018-07-24,-937,32412
2018-07-25,348,32760
2018-07-26,96,32856
2018-07-27,4613,37469
2018-07-28,4358,41827
2018-07-29,-10627,31200
2018-07-30,464,31664
2018-07-31,-976,30688
2018-08-01,46,30734
2018-08-02,3520,34254
2018-08-03,5262,39516
2018-08-04,3459,42975
2018-08-05,-2292,40683
2018-08-06,-14250,26433
2018-08-07,12514,38947
2018-08-08,-51,38896
2018-08-09,-1546,37350
2018-08-10,3703,41053
2018-08-11,2902,43955
2018-08-12,-2144,41811
2018-08-13,1550,43361
2018-08-14,985,44346
2018-08-15,-1672,42674
2018-08-16,-2211,40463
2018-08-17,4272,44735
2018-08-18,-4356,40379
2018-08-19,-4387,35992
2018-08-20,-858,35134
2018-08-21,-1196,33938
2018-08-22,-826,33112
2018-08-23,-2125,30987
2018-08-24,-181,30806
2018-08-25,-308,30498
2018-08-26,-6747,23751
2018-08-27,-1055,22696
2018-08-28,91,22787
2018-08-30,-4702,18085
2018-08-31,2425,20510
2018-09-01,6595,27105
2018-09-02,-7671,19434
2018-09-03,-962,18472
2018-09-04,-4555,13917
2018-09-05,2189,16106
2018-09-06,3620,19726
2018-09-07,2531,22257
2018-09-08,4589,26846
2018-09-09,-10791,16055
2018-09-10,-649,15406
2018-09-11,676,16082
2018-09-12,1427,17509
2018-09-13,384,17893
2018-09-14,1752,19645
2018-09-15,1044,20689
2018-09-16,-4989,15700
2018-09-17,448,16148
2018-09-18,-1181,14967
2018-09-19,473,15440
