date,différence,nuitées
2018-01-01,-22591.5,29136
2018-01-02,-15715,13421
2018-01-03,-1962,11459
2018-01-04,-47,11412
2018-01-05,-749,10663
2018-01-06,-1020,9643
2018-01-07,-1335,8308
2018-01-08,468,8776
2018-01-09,-330,8446
2018-01-10,677,9123
2018-01-11,-1358,7765
2018-01-12,157,7922
2018-01-13,1584,9506
2018-01-14,-2293,7213
2018-01-15,1320,8533
2018-01-16,170,8703
2018-01-17,123,8826
2018-01-18,451,9277
2018-01-19,-660,8617
2018-01-20,1045,9662
2018-01-21,-1808,7854
2018-01-22,-2374,5480
2018-01-23,510,5990
2018-01-24,1989,7979
2018-01-25,797,8776
2018-01-26,641,9417
2018-01-27,833,10250
2018-01-28,-2997,7253
2018-01-29,705,7958
2018-01-30,-457,7501
2018-01-31,1384,8885
2018-02-01,-1918,6967
2018-02-02,1168,8135
2018-02-03,609,8744
2018-02-04,-2408,6336
2018-02-05,898,7234
2018-02-06,-148,7086
2018-02-07,1413,8499
2018-02-08,74,8573
2018-02-09,537,9110
2018-02-10,978,10088
2018-02-11,-2382,7706
2018-02-12,936,8642
2018-02-13,45,8687
2018-02-14,584,9271
2018-02-15,26,9297
2018-02-16,1378,10675
2018-02-17,1153,11828
2018-02-18,-1490,10338
2018-02-19,1145,11483
2018-02-20,-195,11288
2018-02-21,140,11428
2018-02-22,427,11855
2018-02-23,1117,12972
2018-02-24,2569,15541
2018-02-25,-4754,10787
2018-02-26,1450,12237
2018-02-27,-1956,10281
2018-02-28,792,11073
2018-03-01,5059,16132
2018-03-02,-5051,11081
2018-03-03,1875,12956
2018-03-04,-4630,8326
2018-03-05,2383,10709
2018-03-06,2177,12886
2018-03-07,2063,14949
2018-03-08,-2882,12067
2018-03-09,978,13045
2018-03-10,182,13227
2018-03-11,-3129,10098
2018-03-12,1123,11221
2018-03-13,1927,13148
2018-03-14,-10919,2229
2018-03-15,933,3162
2018-03-16,10521,13683
2018-03-17,1964,15647
2018-03-18,-3789,11858
2018-03-19,-1358,10500
2018-03-20,2107,12607
2018-03-21,-1037,11570
2018-03-22,1052,12622
2018-03-23,307,12929
2018-03-24,1433,14362
2018-03-25,-2796,11566
2018-03-26,138,11704
