date,différence,nuitées
2018-01-01,-112471.5,161793
2018-01-02,-77761,84032
2018-01-03,-8340,75692
2018-01-04,-4630,71062
2018-01-05,-1813,69249
2018-01-06,-7613,61636
2018-01-07,-12447,49189
2018-01-08,499,49688
2018-01-09,4306,53994
2018-01-10,-2432,51562
2018-01-11,928,52490
2018-01-12,5829,58319
2018-01-13,5668,63987
2018-01-14,-12699,51288
2018-01-15,10226,61514
2018-01-16,8038,69552
2018-01-17,-9968,59584
2018-01-18,-5390,54194
2018-01-19,7799,61993
2018-01-20,3882,65875
2018-01-21,-18014,47861
2018-01-22,-16687,31174
2018-01-23,263,31437
2018-01-24,21530,52967
2018-01-25,3482,56449
2018-01-26,6192,62641
2018-01-27,7333,69974
2018-01-28,-19008,50966
2018-01-29,3206,54172
2018-01-30,-12869,41303
2018-01-31,12352,53655
2018-02-01,233,53888
2018-02-02,7785,61673
2018-02-03,2382,64055
2018-02-04,-26163,37892
2018-02-05,13719,51611
2018-02-06,2686,54297
2018-02-07,2212,56509
2018-02-08,-310,56199
2018-02-09,9257,65456
2018-02-10,9366,74822
2018-02-11,-16929,57893
2018-02-12,2280,60173
2018-02-13,1613,61786
2018-02-14,3672,65458
2018-02-15,-4068,61390
2018-02-16,10197,71587
2018-02-17,9777,81364
2018-02-18,-15442,65922
2018-02-19,4454,70376
2018-02-20,475,70851
2018-02-21,-6456,64395
2018-02-22,6846,71241
2018-02-23,8724,79965
2018-02-24,5553,85518
2018-02-25,-18380,67138
2018-02-26,-1303,65835
2018-02-27,-8214,57621
2018-02-28,990,58611
2018-03-01,26304,84915
2018-03-02,-14270,70645
2018-03-03,4381,75026
2018-03-04,-30009,45017
2018-03-05,19658,64675
2018-03-06,12978,77653
2018-03-07,2384,80037
2018-03-08,-7545,72492
2018-03-09,7537,80029
2018-03-10,-6022,74007
2018-03-11,-16272,57735
2018-03-12,8476,66211
2018-03-13,212,66423
2018-03-14,-50275,16148
2018-03-15,-2358,13790
2018-03-16,62694,76484
2018-03-17,9265,85749
2018-03-18,-20950,64799
2018-03-19,3263,68062
2018-03-20,4029,72091
2018-03-21,-1710,70381
2018-03-22,-277,70104
2018-03-23,7318,77422
2018-03-24,4997,82419
2018-03-25,-18467,63952
2018-03-26,4889,68841
2018-03-27,7468,76309
2018-03-28,-260,76049
2018-03-29,1140,77189
2018-03-30,17292,94481
2018-03-31,19012,113493
2018-04-01,-17858,95635
2018-04-02,-31354,64281
2018-04-03,2468,66749
2018-04-04,685,67434
2018-04-05,-2273,65161
2018-04-06,8257,73418
2018-04-07,10928,84346
2018-04-08,-25125,59221
2018-04-09,3854,63075
2018-04-10,4502,67577
2018-04-11,-5585,61992
2018-04-12,1598,63590
2018-04-13,15261,78851
2018-04-14,11234,90085
2018-04-15,-24095,65990
2018-04-16,2296,68286
2018-04-17,7369,75655
2018-04-18,-2484,73171
2018-04-19,1120,74291
2018-04-20,1965,76256
2018-04-21,7044,83300
2018-04-22,-25876,57424
2018-04-23,7698,65122
2018-04-24,-14049,51073
2018-04-25,1221,52294
2018-04-26,-40,52254
2018-04-27,6826,59080
2018-04-28,10714,69794
2018-04-29,-15690,54104
2018-04-30,15584,69688
2018-05-01,-7054,62634
2018-05-02,6193,68827
2018-05-03,2293,71120
2018-05-04,11791,82911
2018-05-05,14609,97520
2018-05-06,-75388,22132
2018-05-07,56019,78151
2018-05-08,-3018,75133
2018-05-09,3301,78434
2018-05-10,-701,77733
2018-05-11,7787,85520
2018-05-12,-1275,84245
2018-05-13,-17600,66645
2018-05-14,1811,68456
2018-05-15,-442,68014
2018-05-16,1441,69455
2018-05-17,2226,71681
2018-05-18,8137,79818
2018-05-19,-8886,70932
2018-05-20,-61241,9691
2018-05-21,273,9964
2018-05-22,60555,70519
2018-05-23,3722,74241
2018-05-24,-21993,52248
2018-05-25,-26745,25503
2018-05-26,7094,32597
2018-05-27,-8038,24559
2018-05-28,70071,94630
2018-05-29,-20020,74610
2018-05-30,1717,76327
2018-05-31,-3350,72977
2018-06-01,7299,80276
2018-06-02,4666,84942
2018-06-03,-16761,68181
2018-06-04,1124,69305
2018-06-05,3712,73017
2018-06-06,-1347,71670
2018-06-07,-2836,68834
2018-06-08,11308,80142
2018-06-09,4232,84374
2018-06-10,-13833,70541
2018-06-11,3614,74155
2018-06-12,4317,78472
2018-06-13,-2969,75503
2018-06-14,5004,80507
2018-06-15,4072,84579
2018-06-16,8163,92742
2018-06-17,-18553,74189
2018-06-18,841,75030
2018-06-19,2956,77986
2018-06-20,4414,82400
2018-06-21,-1853,80547
2018-06-22,2678,83225
2018-06-23,2647,85872
2018-06-24,-14735,71137
2018-06-25,4841,75978
2018-06-26,2217,78195
2018-06-27,1515,79710
2018-06-28,9086,88796
2018-06-29,10647,99443
2018-06-30,17599,117042
2018-07-01,-29477,87565
2018-07-02,-1401,86164
2018-07-03,935,87099
2018-07-04,2742,89841
2018-07-05,685,90526
2018-07-06,10589,101115
2018-07-07,12332,113447
2018-07-08,-26556,86891
2018-07-09,1187,88078
2018-07-10,2227,90305
2018-07-11,2834,93139
2018-07-12,2481,95620
2018-07-13,19101,114721
2018-07-14,11247,125968
2018-07-15,-25669,100299
2018-07-16,-2644,97655
2018-07-17,-2274,95381
2018-07-18,3468,98849
2018-07-19,3980,102829
2018-07-20,6146,108975
2018-07-21,8576,117551
2018-07-22,-16277,101274
2018-07-23,6743,108017
2018-07-24,497,108514
2018-07-25,-5186,103328
2018-07-26,832,104160
2018-07-27,9822,113982
2018-07-28,8344,122326
2018-07-29,-33949,88377
2018-07-30,-300,88077
2018-07-31,-640,87437
2018-08-01,3291,90728
2018-08-02,945,91673
2018-08-03,10734,102407
2018-08-04,5161,107568
2018-08-05,-10305,97263
2018-08-06,-34892,62371
2018-08-07,33049,95420
2018-08-08,3699,99119
2018-08-09,457,99576
2018-08-10,8139,107715
2018-08-11,2967,110682
2018-08-12,-11466,99216
2018-08-13,2227,101443
2018-08-14,2317,103760
2018-08-15,-156,103604
2018-08-16,-2525,101079
2018-08-17,15883,116962
2018-08-18,-1125,115837
2018-08-19,-12946,102891
2018-08-20,-3698,99193
2018-08-21,2920,102113
2018-08-22,-2237,99876
2018-08-23,2397,102273
2018-08-24,10015,112288
2018-08-25,-2970,109318
2018-08-26,-15391,93927
2018-08-27,-1188,92739
2018-08-28,297,93036
2018-08-30,-2561,90475
2018-08-31,5090,95565
2018-09-01,17250,112815
2018-09-02,-22110,90705
2018-09-03,5622,96327
2018-09-04,-31833,64494
2018-09-05,25533,90027
2018-09-06,4555,94582
2018-09-07,7536,102118
2018-09-08,12633,114751
2018-09-09,-36077,78674
2018-09-10,7274,85948
2018-09-11,4490,90438
2018-09-12,5432,95870
2018-09-13,444,96314
2018-09-14,3722,100036
2018-09-15,8392,108428
2018-09-16,-18178,90250
2018-09-17,1496,91746
2018-09-18,-2323,89423
2018-09-19,811,90234
2018-09-20,3125,93359
2018-09-21,4289,97648
2018-09-22,5592,103240
2018-09-23,-17035,86205
2018-09-24,-4268,81937
2018-09-25,3242,85179
2018-09-26,-14687,70492
2018-09-27,16576,87068
2018-09-28,3315,90383
2018-09-29,8009,98392
2018-09-30,-17899,80493
2018-10-01,-5299,75194
2018-10-02,4593,79787
2018-10-03,-592,79195
2018-10-04,1926,81121
2018-10-05,13810,94931
2018-10-06,850,95781
2018-10-07,-20585,75196
2018-10-08,-6225,68971
2018-10-09,7741,76712
2018-10-10,6100,82812
2018-10-11,1553,84365
2018-10-12,10363,94728
2018-10-13,10205,104933
2018-10-14,-22054,82879
2018-10-15,3324,86203
2018-10-16,902,87105
2018-10-17,-2492,84613
2018-10-18,-555,84058
2018-10-19,7782,91840
2018-10-20,17257,109097
2018-10-21,-16271,92826
2018-10-22,620,93446
2018-10-23,4938,98384
2018-10-24,-1129,97255
2018-10-25,1192,98447
2018-10-26,6087,104534
2018-10-27,5352,109886
2018-10-28,-55952,53934
2018-10-29,42571,96505
2018-10-30,-3067,93438
2018-10-31,7571,101009
2018-11-01,8827,109836
2018-11-02,3005,112841
2018-11-03,-4730,108111
2018-11-04,-53474,54637
2018-11-05,16709,71346
2018-11-06,1046,72392
2018-11-07,-1476,70916
2018-11-08,1516,72432
2018-11-09,4562,76994
2018-11-10,6794,83788
2018-11-11,-17084,66704
2018-11-12,-2313,64391
2018-11-13,1015,65406
2018-11-14,682,66088
2018-11-15,4145,70233
2018-11-16,10708,80941
2018-11-17,573,81514
2018-11-18,-39565,41949
2018-11-19,24782,66731
2018-11-20,2327,69058
2018-11-21,59,69117
2018-11-22,-1353,67764
2018-11-23,8016,75780
2018-11-24,6187,81967
2018-11-25,-18688,63279
2018-11-26,-1812,61467
2018-11-27,-569,60898
2018-11-28,2928,63826
2018-11-29,-993,62833
2018-11-30,9175,72008
2018-12-01,8025,80033
2018-12-02,-20256,59777
2018-12-04,5176,64953
2018-12-05,397,65350
2018-12-06,-925,64425
2018-12-07,6983,71408
2018-12-08,3007,74415
2018-12-09,-18499,55916
2018-12-10,1509,57425
2018-12-11,576,58001
2018-12-12,-129,57872
2018-12-13,-129,57743
2018-12-14,7603,65346
2018-12-15,4624,69970
2018-12-16,-15662,54308
2018-12-17,2210,56518
2018-12-18,3527,60045
2018-12-19,1415,61460
2018-12-20,8180,69640
2018-12-21,14284,83924
2018-12-22,22466,106390
2018-12-23,20454,126844
2018-12-24,29008,155852
2018-12-25,-22004,133848
2018-12-26,-15281,118567
2018-12-27,-9671,108896
2018-12-28,1477,110373
2018-12-29,198,110571
2018-12-30,-3254,107317
2018-12-31,29940,137257
