date,différence,nuitées
2018-01-01,-27794.5,33180
2018-01-02,-18693,14487
2018-01-03,-490,13997
2018-01-04,-889,13108
2018-01-05,-1963,11145
2018-01-06,-835,10310
2018-01-07,-4241,6069
2018-01-08,185,6254
2018-01-09,94,6348
2018-01-10,485,6833
2018-01-11,-733,6100
2018-01-12,1261,7361
2018-01-13,1326,8687
2018-01-14,-2928,5759
2018-01-15,1382,7141
2018-01-16,791,7932
2018-01-17,-1851,6081
2018-01-18,1305,7386
2018-01-19,-357,7029
2018-01-20,1522,8551
2018-01-21,-2256,6295
2018-01-22,-1979,4316
2018-01-23,1124,5440
2018-01-24,909,6349
2018-01-25,497,6846
2018-01-26,1108,7954
2018-01-27,2005,9959
2018-01-28,-3288,6671
2018-01-29,655,7326
2018-01-30,-1510,5816
2018-01-31,831,6647
2018-02-01,66,6713
2018-02-02,631,7344
2018-02-03,2431,9775
2018-02-04,-4498,5277
2018-02-05,1614,6891
2018-02-06,-306,6585
2018-02-07,-796,5789
2018-02-08,360,6149
2018-02-09,1396,7545
2018-02-10,1972,9517
2018-02-11,-2507,7010
2018-02-12,2190,9200
2018-02-13,-134,9066
2018-02-14,-623,8443
2018-02-15,1393,9836
2018-02-16,921,10757
2018-02-17,4323,15080
2018-02-18,-3084,11996
2018-02-19,1083,13079
2018-02-20,129,13208
2018-02-21,-1644,11564
2018-02-22,1805,13369
2018-02-23,1626,14995
2018-02-24,2772,17767
2018-02-25,-5130,12637
2018-02-26,669,13306
2018-02-27,-874,12432
2018-02-28,146,12578
2018-03-01,5646,18224
2018-03-02,-4184,14040
2018-03-03,1308,15348
2018-03-04,-7629,7719
2018-03-05,2766,10485
2018-03-06,497,10982
2018-03-07,-546,10436
2018-03-08,1848,12284
2018-03-09,307,12591
2018-03-10,1554,14145
2018-03-11,-4302,9843
2018-03-12,755,10598
2018-03-13,491,11089
2018-03-14,-8409,2680
2018-03-15,695,3375
2018-03-16,9413,12788
2018-03-17,3971,16759
2018-03-18,-5093,11666
2018-03-19,430,12096
2018-03-20,-264,11832
2018-03-21,317,12149
2018-03-22,-13,12136
2018-03-23,2451,14587
2018-03-24,2393,16980
2018-03-25,-4398,12582
2018-03-26,-246,12336
2018-03-27,513,12849
2018-03-28,-40,12809
2018-03-29,2111,14920
2018-03-30,4817,19737
2018-03-31,9703,29440
2018-04-01,-3843,25597
2018-04-02,-11731,13866
2018-04-03,209,14075
2018-04-04,0,14075
2018-04-05,-955,13120
2018-04-06,3354,16474
2018-04-07,3562,20036
2018-04-08,-6551,13485
2018-04-09,-1276,12209
2018-04-10,1022,13231
2018-04-11,-601,12630
2018-04-12,540,13170
2018-04-13,4726,17896
2018-04-14,5274,23170
2018-04-15,-5807,17363
2018-04-16,1071,18434
2018-04-17,2821,21255
2018-04-18,-226,21029
2018-04-19,-1013,20016
2018-04-20,4700,24716
2018-04-21,3868,28584
2018-04-22,-10494,18090
2018-04-23,1853,19943
2018-04-24,-3637,16306
2018-04-25,-1151,15155
2018-04-26,-336,14819
2018-04-27,3088,17907
2018-04-28,4369,22276
2018-04-29,-5620,16656
2018-04-30,4129,20785
2018-05-01,-3682,17103
2018-05-02,2627,19730
2018-05-03,-1820,17910
2018-05-04,2981,20891
2018-05-05,9210,30101
2018-05-06,-22199,7902
2018-05-07,18620,26522
2018-05-08,785,27307
2018-05-09,2879,30186
2018-05-10,1149,31335
2018-05-11,3033,34368
2018-05-12,-3543,30825
2018-05-13,-13937,16888
2018-05-14,282,17170
2018-05-15,932,18102
2018-05-16,117,18219
2018-05-17,1190,19409
2018-05-18,7095,26504
2018-05-19,-1206,25298
2018-05-20,-18065,7233
2018-05-21,-3935,3298
2018-05-22,14965,18263
2018-05-23,1021,19284
2018-05-24,-4059,15225
2018-05-25,-2195,13030
2018-05-26,3051,16081
2018-05-27,-6428,9653
2018-05-28,12104,21757
2018-05-29,-3716,18041
2018-05-30,-608,17433
2018-05-31,-705,16728
2018-06-01,5533,22261
2018-06-02,1345,23606
2018-06-03,-6633,16973
2018-06-04,-395,16578
2018-06-05,789,17367
2018-06-06,1718,19085
2018-06-07,-1650,17435
2018-06-08,5088,22523
2018-06-09,2781,25304
2018-06-10,-7395,17909
2018-06-11,1443,19352
2018-06-12,520,19872
2018-06-13,-881,18991
2018-06-14,226,19217
2018-06-15,4258,23475
2018-06-16,1144,24619
2018-06-17,-5257,19362
2018-06-18,1130,20492
2018-06-19,-441,20051
2018-06-20,904,20955
2018-06-21,1105,22060
2018-06-22,5098,27158
2018-06-23,3843,31001
2018-06-24,-11351,19650
2018-06-25,190,19840
2018-06-26,1472,21312
2018-06-27,232,21544
2018-06-28,2243,23787
2018-06-29,8036,31823
2018-06-30,14808,46631
2018-07-01,-17345,29286
2018-07-02,-1067,28219
2018-07-03,3453,31672
2018-07-04,213,31885
2018-07-05,1169,33054
2018-07-06,3968,37022
2018-07-07,9478,46500
2018-07-08,-11456,35044
2018-07-09,1231,36275
2018-07-10,603,36878
2018-07-11,213,37091
2018-07-12,4085,41176
2018-07-13,12677,53853
2018-07-14,8135,61988
2018-07-15,-15192,46796
2018-07-16,-882,45914
2018-07-17,119,46033
2018-07-18,-1471,44562
2018-07-19,2806,47368
2018-07-20,5731,53099
2018-07-21,10391,63490
2018-07-22,-12748,50742
2018-07-23,2053,52795
2018-07-24,-87,52708
2018-07-25,-511,52197
2018-07-26,-1107,51090
2018-07-27,10161,61251
2018-07-28,5173,66424
2018-07-29,-16166,50258
2018-07-30,515,50773
2018-07-31,-404,50369
2018-08-01,929,51298
2018-08-02,678,51976
2018-08-03,4517,56493
2018-08-04,8184,64677
2018-08-05,-363,64314
2018-08-06,-16471,47843
2018-08-07,15633,63476
2018-08-08,4655,68131
2018-08-09,-1569,66562
2018-08-10,3260,69822
2018-08-11,1709,71531
2018-08-12,-5442,66089
2018-08-13,-518,65571
2018-08-14,4175,69746
2018-08-15,-2689,67057
2018-08-16,-5057,62000
2018-08-17,2578,64578
2018-08-18,-1135,63443
2018-08-19,-10506,52937
2018-08-20,-754,52183
2018-08-21,-3242,48941
2018-08-22,916,49857
2018-08-23,-2659,47198
2018-08-24,-1306,45892
2018-08-25,-4426,41466
2018-08-26,-6929,34537
2018-08-27,-3686,30851
2018-08-28,-12,30839
2018-08-30,-2984,27855
2018-08-31,1383,29238
2018-09-01,4793,34031
2018-09-02,-10293,23738
2018-09-03,284,24022
2018-09-04,-3466,20556
2018-09-05,836,21392
2018-09-06,3941,25333
2018-09-07,4013,29346
2018-09-08,2997,32343
2018-09-09,-12067,20276
2018-09-10,2144,22420
2018-09-11,443,22863
2018-09-12,302,23165
2018-09-13,-55,23110
2018-09-14,2013,25123
2018-09-15,1132,26255
2018-09-16,-6584,19671
2018-09-17,355,20026
2018-09-18,-532,19494
2018-09-19,-123,19371
2018-09-20,206,19577
2018-09-21,2292,21869
2018-09-22,1346,23215
2018-09-23,-5757,17458
2018-09-24,-877,16581
2018-09-25,771,17352
2018-09-26,-3384,13968
2018-09-27,2747,16715
2018-09-28,4211,20926
2018-09-29,1887,22813
2018-09-30,-5017,17796
2018-10-01,-2439,15357
2018-10-02,-634,14723
2018-10-03,-827,13896
2018-10-04,-228,13668
2018-10-05,3109,16777
2018-10-06,3802,20579
2018-10-07,-7821,12758
2018-10-08,91,12849
2018-10-09,1176,14025
2018-10-10,1107,15132
2018-10-11,604,15736
2018-10-12,2415,18151
2018-10-13,1946,20097
2018-10-14,-5415,14682
2018-10-15,-121,14561
2018-10-16,-271,14290
2018-10-17,624,14914
2018-10-18,2930,17844
2018-10-19,4855,22699
2018-10-20,6362,29061
2018-10-21,-7320,21741
2018-10-22,-973,20768
2018-10-23,943,21711
2018-10-24,310,22021
2018-10-25,1037,23058
2018-10-26,3036,26094
2018-10-27,4004,30098
2018-10-28,-14592,15506
2018-10-29,9527,25033
2018-10-30,877,25910
2018-10-31,2333,28243
2018-11-01,3887,32130
2018-11-02,909,33039
2018-11-03,-5054,27985
2018-11-04,-16912,11073
2018-11-05,446,11519
2018-11-06,-1177,10342
2018-11-07,2318,12660
2018-11-08,25,12685
2018-11-09,1626,14311
2018-11-10,1454,15765
2018-11-11,-3964,11801
2018-11-12,-397,11404
2018-11-13,-537,10867
2018-11-14,56,10923
2018-11-15,-839,10084
2018-11-16,1883,11967
2018-11-17,1509,13476
2018-11-18,-6445,7031
2018-11-19,2117,9148
2018-11-20,-228,8920
2018-11-21,294,9214
2018-11-22,321,9535
2018-11-23,1534,11069
2018-11-24,995,12064
2018-11-25,-3352,8712
2018-11-26,1067,9779
2018-11-27,-471,9308
2018-11-28,-398,8910
2018-11-29,-372,8538
2018-11-30,1768,10306
2018-12-01,2748,13054
2018-12-02,-4712,8342
2018-12-04,-421,7921
2018-12-05,278,8199
2018-12-06,-279,7920
2018-12-07,1165,9085
2018-12-08,1261,10346
2018-12-09,-2292,8054
2018-12-10,-174,7880
