date,différence,nuitées
2018-01-01,-126853.5,152906
2018-01-02,-81393,71513
2018-01-03,9528,81041
2018-01-04,-9588,71453
2018-01-05,-18668,52785
2018-01-06,-13749,39036
2018-01-07,-9010,30026
2018-01-08,-1610,28416
2018-01-09,289,28705
2018-01-10,1815,30520
2018-01-11,246,30766
2018-01-12,8454,39220
2018-01-13,-1093,38127
2018-01-14,-11889,26238
2018-01-15,2826,29064
2018-01-16,2364,31428
2018-01-17,-3595,27833
2018-01-18,921,28754
2018-01-19,8993,37747
2018-01-20,7280,45027
2018-01-21,-15722,29305
2018-01-22,-11433,17872
2018-01-23,1366,19238
2018-01-24,11546,30784
2018-01-25,-1037,29747
2018-01-26,13710,43457
2018-01-27,3556,47013
2018-01-28,-15098,31915
2018-01-29,-2310,29605
2018-01-30,-5330,24275
2018-01-31,6936,31211
2018-02-01,992,32203
2018-02-02,14443,46646
2018-02-03,2434,49080
2018-02-04,-22748,26332
2018-02-05,8725,35057
2018-02-06,-439,34618
2018-02-07,-450,34168
2018-02-08,4375,38543
2018-02-09,8091,46634
2018-02-10,6643,53277
2018-02-11,-5755,47522
2018-02-12,-401,47121
2018-02-13,-1641,45480
2018-02-14,4029,49509
2018-02-15,1064,50573
2018-02-16,8644,59217
2018-02-17,6383,65600
2018-02-18,-5386,60214
2018-02-19,1803,62017
2018-02-20,2905,64922
2018-02-21,-6559,58363
2018-02-22,4578,62941
2018-02-23,8207,71148
2018-02-24,6136,77284
2018-02-25,-10689,66595
2018-02-26,-693,65902
2018-02-27,-6623,59279
2018-02-28,56,59335
2018-03-01,22055,81390
2018-03-02,-17579,63811
2018-03-03,-4676,59135
2018-03-04,-25278,33857
2018-03-05,23921,57778
2018-03-06,4685,62463
2018-03-07,-7714,54749
2018-03-08,-3919,50830
2018-03-09,9617,60447
2018-03-10,-3938,56509
2018-03-11,-15426,41083
2018-03-12,2040,43123
2018-03-13,799,43922
2018-03-14,-34052,9870
2018-03-15,-289,9581
2018-03-16,45606,55187
2018-03-17,4653,59840
2018-03-18,-18749,41091
2018-03-19,-5107,35984
2018-03-20,3709,39693
